label,question
1,Проясни о чем обозначают цифры периодов
1,Как приносят периоды на сайте
1,Што можно использовать периодов по карте
2,Подскажи номер оператора справочную консультацию
2,Хочу информацию о диспетчером справочной службы
1,Непонятно как понять дают данные периодов
2,Где взять номер справочную консультации
1,Непонятно что свидетельствуют периоды
2,Не могу найти как связаться с диспетчером справочной службы
1,Поделись че дарят периоды
2,Откуда номерок справки
1,О чем обозначают период на сайте
1,О чем обозначают период по карте
1,Какой смысл значат периоды на сайте
1,Проясни как понять дарят цифры периодов
2,Подскажи телефон справочную консультации
1,Просвети о чем свидетельствуют период
1,Че дают период по карте
1,Расскажи о чем дарят периоды
2,Что по телефон оператора справочной службы
2,Объясни где взять телефона справочной службы
1,Непонятно че дают цифры периодов
2,Желаю номер операторе справки
2,Можно мне данные номера справочной службой
1,Как понять свидетельствуют периоды
2,Можно мне как связаться с диспетчером справочной службы
2,Можно мне информацию о номере справки
2,Как насчет информацию о оператору справки
1,Объясни что дарят данные периодов
1,Расскажи для чего такое данные периодов
2,Объясни где взять телефона справки
1,Расскажи для чего дарят период
1,Объясни че дарят периоды
2,Дай телефон о справочной консультацию
2,Проясни насчет по телефону справочной информации
1,Что дают данные периодов
1,Поделись о чем служат цифры периодов
2,Не могу дозвонится информацию о в справку
2,Проясни насчет номера телефона справки
1,Что обозначают цифры периодов
1,Што значат периоды на карте
2,Желаю номер оператором справочной службы
1,Какой смысл обозначают период на сайте
2,Откуда как связаться с справке
1,Расскажи для чего дают данные периодов
1,Проясни што дают данные периодов
2,Есть данные номера оператором справки
1,Поделись че служат данные периодов
1,Какой смысл обозначают периодов на карте
1,Объясни для чего дают данные периодов
2,Есть номер справкой
2,Не могу найти информацию о номере операторе справочной службы
1,Просвети че дарят данные периодов
1,Объясни что такое период
1,Объясни што служат данные периодов
1,Как значат периодов по карте
1,Проясни о чем такое период
2,Что данные номера в справку
1,Што дарят периоды
1,Расскажи о чем дарят данные периодов
1,О чем можно использовать периодов на карте
2,Где взять как связаться с справкой
2,Не могу найти информацию о оператора справки
1,Какую пользу дают период по карте
1,Проясни как понять служат период
1,Что дарят периоды
2,Есть данные номера справки
2,Можно мне как связаться с справкой
1,Расскажи што такое периоды
2,Не могу узнать информацию о справке
2,Не могу дозвонится данные телефона оператору справки
1,Просвети для чего обозначают данные периодов
2,Дай как связаться с справки
2,Не могу найти данные номера оператором справочной службы
2,Дай номер оператора справочную консультации
1,Просвети как понять свидетельствуют цифры периодов
2,Расскажи телефон справочную консультации
1,Проясни что дарят периоды
2,Подскажи информацию о номере справки
1,Что можно использовать периоды по карте
2,Не могу найти номер диспетчера справки
1,Расскажи че такое цифры периодов
2,Где найти информацию о справке
1,Че значат периодов по сайте
1,Што можно использовать периоды по сайте
1,Поделись че свидетельствуют данные периодов
1,Какую пользу обозначают период по сайте
1,Че значат периодов на сайте
2,Трудность с номером оператора справки
2,Знаешь информацию о номере справкой
